,binarize,graph_type,res,threshold,seed,param_key,modularity
598,True,Gad,0.45,2,59731405,BangorMerritt,0.47204397618324695
599,True,Gad,0.45,3,74552090,DooleyJeres,0.49667875432433334
600,True,G,0.2,0,58117951,SumterRiley,0.35775935302397827
601,True,G,0.2,1,9964239,PaleolithicLuther,0.4039959527562168
602,True,G,0.2,2,90761004,ParsifalProkofieff,0.41697605328695486
603,True,G,0.2,3,21566665,MicheleMerck,0.4235966321627844
604,True,G,0.25,0,19099856,DiogenesJimmie,0.38375364313785587
605,True,G,0.25,1,21641603,JudithO'Leary,0.4259803814663675
606,True,G,0.25,2,72664776,CurranGoldwater,0.44997270401806394
607,True,G,0.25,3,79344988,EumenidesEssex,0.4466461986643913
608,True,G,0.3,0,42551268,WakefieldGiles,0.40497826934611936
609,True,G,0.3,1,10027489,SelenaO'Leary,0.4356080639736426
610,True,G,0.3,2,78501407,SmithsonRagusan,0.45842669088298466
611,True,G,0.3,3,15980312,HartleyDriscoll,0.47565951671602746
612,True,G,0.35,0,66114598,HagueIsabella,0.42265854270498454
613,True,G,0.35,1,95111391,FergusonHiroshima,0.4507689561570898
614,True,G,0.35,2,20160160,SlavicBethesda,0.47081225211445055
615,True,G,0.35,3,55952931,MuddJura,0.49404359026602174
616,True,G,0.4,0,26347315,BajaWhitaker,0.4386711822043634
617,True,G,0.4,1,27142975,ChaoCarruthers,0.45207904085128436
618,True,G,0.4,2,30073872,BuddCummings,0.4846272833652073
619,True,G,0.4,3,99247841,CassandraHaney,0.49783595583431456
620,True,G,0.45,0,7585934,AngieOrlando,0.4594106610593191
621,True,G,0.45,1,71131776,CarboloyGarvey,0.47801582344993704
622,True,G,0.45,2,63369949,RamseyCorinthian,0.49225110720755233
623,True,G,0.45,3,93942075,RowleyBartlett,0.5025888021930158
624,False,Gad,0.2,0,367062,SaraSlovenia,0.40923632667454957
625,False,Gad,0.2,1,62339278,ManchesterKovacs,0.4381311512359877
626,False,Gad,0.2,2,53856563,RussEthel,0.45551092383100744
627,False,Gad,0.2,3,17453896,AinuKong,0.47246934788522305
628,False,Gad,0.25,0,94217251,LuxembourgKnickerbocker,0.4346503970704419
629,False,Gad,0.25,1,82888181,KirovSlovakia,0.4614748789156474
630,False,Gad,0.25,2,36019851,AnastasiaSchuylkill,0.47477028520911624
631,False,Gad,0.25,3,7583104,JoshuaDowling,0.4913486259048098
632,False,Gad,0.3,0,90812842,DerekArianism,0.45346056436928517
633,False,Gad,0.3,1,17830578,ManchuriaAthens,0.4717149314211111
634,False,Gad,0.3,2,71600703,RubaiyatCarolyn,0.4982275442212707
635,False,Gad,0.3,3,46756277,EphraimLuther,0.5113400547433178
636,False,Gad,0.35,0,86539127,MiddletonLang,0.4652764431563421
637,False,Gad,0.35,1,39413790,CanfieldMaggie,0.4855629477861418
638,False,Gad,0.35,2,2426838,MonsantoClausen,0.505409974161754
639,False,Gad,0.35,3,22408271,HustonFelicia,0.5227778399349486
640,False,Gad,0.4,0,85400436,MiltonicEisenhower,0.4716356410526674
641,False,Gad,0.4,1,46291669,CoronadoCanaveral,0.4908009847292707
642,False,Gad,0.4,2,69857061,DoreenMumford,0.5091223924910113
643,False,Gad,0.4,3,83953083,MerrittFallopian,0.5281809961509655
644,False,Gad,0.45,0,98060673,NegroPhoenicia,0.49338131500564325
645,False,Gad,0.45,1,95640848,PrescottNordstrom,0.5063422939154373
646,False,Gad,0.45,2,99824960,LounsburyWaco,0.5204173138829751
647,False,Gad,0.45,3,14385595,SandersonPoland,0.5401696554567815
648,False,G,0.2,0,7238643,FlaglerNewman,0.4078528011901942
649,False,G,0.2,1,17264160,WilsonMyron,0.42459951553663916
650,False,G,0.2,2,5270126,SanfordDaedalus,0.44003362925005196
651,False,G,0.2,3,77025062,ChadwickSunnyvale,0.4670193317550029
652,False,G,0.25,0,9527376,SerpensMendelian,0.43418656474814316
653,False,G,0.25,1,5694086,FormosaPhipps,0.4624061665123901
654,False,G,0.25,2,71420277,RonnieKu,0.47219255494576756
655,False,G,0.25,3,42290089,MarleneSebastian,0.4899257962268422
656,False,G,0.3,0,27875044,FayettevilleAbner,0.4545993494619157
657,False,G,0.3,1,88035445,MarlboroDanny,0.4699318109275803
658,False,G,0.3,2,6883179,AbernathyParsi,0.48983880867959867
659,False,G,0.3,3,66158572,IzvestiaLou,0.505628139509928
660,False,G,0.35,0,18165006,AllisonGreta,0.4635076217115693
661,False,G,0.35,1,70757745,PerseidKafka,0.4828879829024825
662,False,G,0.35,2,54166189,MaloneySullivan,0.5044443660350842
663,False,G,0.35,3,78808598,LorraineMcGee,0.5220951233858936
664,False,G,0.4,0,97653222,BosePearce,0.4760743807702133
665,False,G,0.4,1,73932817,IngersollCaroline,0.5006380003182016
666,False,G,0.4,2,39995946,EdwinaChoctaw,0.5128105409786466
667,False,G,0.4,3,13536137,MarriettaGandhian,0.5174607632903504
668,False,G,0.45,0,65756423,MathewsonClark,0.4817838015052572
669,False,G,0.45,1,43158606,HendrickVenezuela,0.5051101011788185
670,False,G,0.45,2,55210395,MazdaKannada,0.518998483517684
671,False,G,0.45,3,89707526,PerseusWuhan,0.5366143332141757
672,True,Gad,0.2,0,48685259,LuxembourgIberia,0.327000051686221
673,True,Gad,0.2,1,87714169,SalkDarwinian,0.3644959352863994
674,True,Gad,0.2,2,74595365,HopkinsianHieronymus,0.40947907777838144
675,True,Gad,0.2,3,96819672,CruzGabon,0.42875782011226704
676,True,Gad,0.25,0,17123092,BeverlyChandigarh,0.36074208670067087
677,True,Gad,0.25,1,90546666,SmithsonVasquez,0.3977612681164259
678,True,Gad,0.25,2,90538206,ArabyWilfred,0.42110551842695904
679,True,Gad,0.25,3,59157924,GaribaldiProust,0.44688803925668974
680,True,Gad,0.3,0,38216945,PealeDevonshire,0.3728900437847518
681,True,Gad,0.3,1,9235868,McPhersonVivaldi,0.41605715011761485
682,True,Gad,0.3,2,82202191,TyrannosaurusLehigh,0.44155738015059093
683,True,Gad,0.3,3,91242959,ParkinsonScot,0.46029466125140794
684,True,Gad,0.35,0,60998916,AtlantisNdjamena,0.3899467551579975
685,True,Gad,0.35,1,91964224,HolmesEarthman,0.4189216620526824
686,True,Gad,0.35,2,87731917,StocktonHenley,0.4539948283598808
687,True,Gad,0.35,3,59860879,MahayanaRockwell,0.4714893945640732
688,True,Gad,0.4,0,57565967,StefanArragon,0.41552886803234
689,True,Gad,0.4,1,18771071,ThimbuChinamen,0.4326721248941765
690,True,Gad,0.4,2,32502833,MiamiSwedish,0.464337619402702
691,True,Gad,0.4,3,53759481,PericlesFallopian,0.4846280277354928
692,True,Gad,0.45,0,55693037,OberlinIsfahan,0.42718395104121365
693,True,Gad,0.45,1,34097316,MaldiveFlynn,0.44666223593128807
694,True,Gad,0.45,2,53098288,McAdamsSousa,0.46657857572426037
