,KiddeBlackfoot,LudwigHorowitz,JimenezEinstein,HelmholtzBonaventure,SanfordStromberg,RutherfordBrice,LibrevilleEnglishman,ValeriePulitzer,EurasiaChurchill,PerleHerschel,PuritanArmageddon,MoenHadley,NipponPl,OstranderMonterey,MindanaoDebby,FilipinoTitus,HoustonHoffman,ShreveportBahrein,ClarenceCepheus,HillcrestDuncan,HymanBlum,MalagasyCarrie,PeaseRinehart,ConleySaratoga,DoricPygmalion,DelGullah,IanPoynting,HollisterPearce,HanukkahBaylor,LaredoBryant,BradyAbelian,CoolidgeBirmingham,SommerfeldRothschild,MarianneCarbondale,MarilynRowe,BoltonPaulson,ElbaHerman,KaskaskiaGainesville,CardiffBeardsley,OvidGreece,McMullenMarriott,AdelePickford,StyxBahrein,CarruthersPict,WoodardTenneco,WeierstrassBernice,MoroccoHalsey,HelmutDerek,MacassarNorton,ZanzibarCreole,MoroccoFaustian,AriesAustralia,LodowickLaurie,HuntsvilleSolon,KilimanjaroIsis,GranvilleSaul,FahrenheitDusenbury,LindseySiegmund,IranianParaguay,HathawayFrench,RicoAlsop,CorinthianOhio,KnutsonGuthrie,ConnorsMcCarty,MarriettaCain,BengalOakland,EssexBoeotia,GreenblattClinton,SriPritchard,PearceSchafer,UlanConnecticut,PatrickDante
1405493,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,12.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,13.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0
1406463,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
1414206,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,10.0,,,0,0.0,,,0,0.0,,,0,4.0,,,0,0.0,,,0,0.0,,
1419315,7,6.0,7.0,6.0,7,6.0,7.0,6.0,0,6.0,6.0,6.0,6,6.0,7.0,7.0,6,5.0,6.0,7.0,6,5.0,6.0,7.0,7,6.0,7.0,7.0,7,6.0,6.0,6.0,3,5.0,7.0,7.0,6,6.0,7.0,7.0,6,5.0,6.0,6.0,6,6.0,6.0,7.0,6,6.0,7.0,6.0,5,6.0,7.0,6.0,3,5.0,7.0,6.0,6,7.0,7.0,7.0,6,6.0,6.0,7.0,6,5.0,6.0,7.0
1427012,7,6.0,7.0,,7,6.0,7.0,,0,6.0,6.0,,6,6.0,7.0,,6,5.0,6.0,,6,5.0,6.0,,7,6.0,7.0,,7,6.0,6.0,,3,5.0,7.0,,6,6.0,7.0,,6,5.0,6.0,,6,6.0,6.0,,6,6.0,7.0,,5,6.0,7.0,,3,5.0,7.0,,6,7.0,7.0,,6,6.0,6.0,,6,5.0,6.0,
1429969,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
1591270,10,9.0,0.0,11.0,11,10.0,0.0,9.0,8,2.0,0.0,11.0,11,11.0,0.0,13.0,11,12.0,0.0,11.0,11,9.0,0.0,11.0,10,10.0,0.0,13.0,10,11.0,0.0,12.0,8,9.0,0.0,3.0,11,12.0,0.0,12.0,10,10.0,0.0,10.0,10,10.0,0.0,11.0,10,11.0,0.0,12.0,10,10.0,0.0,11.0,8,7.0,0.0,10.0,12,12.0,0.0,13.0,11,11.0,0.0,11.0,6,9.0,0.0,11.0
1622901,11,10.0,11.0,12.0,12,11.0,12.0,10.0,9,10.0,11.0,9.0,12,12.0,13.0,14.0,12,13.0,11.0,12.0,12,10.0,10.0,12.0,11,11.0,11.0,14.0,11,12.0,11.0,13.0,9,10.0,11.0,11.0,12,13.0,14.0,13.0,11,11.0,11.0,11.0,11,11.0,10.0,12.0,11,12.0,12.0,13.0,11,11.0,11.0,12.0,9,10.0,12.0,0.0,13,13.0,13.0,14.0,12,12.0,11.0,12.0,10,10.0,10.0,12.0
1646076,8,11.0,12.0,0.0,9,12.0,13.0,0.0,6,8.0,12.0,0.0,13,13.0,14.0,0.0,13,14.0,12.0,0.0,13,11.0,11.0,0.0,12,8.0,12.0,0.0,8,12.0,12.0,0.0,6,7.0,12.0,0.0,13,14.0,15.0,0.0,12,12.0,12.0,0.0,12,12.0,11.0,0.0,8,7.0,13.0,0.0,8,12.0,12.0,0.0,6,11.0,13.0,0.0,14,14.0,14.0,0.0,13,13.0,12.0,0.0,11,11.0,11.0,0.0
1678567,11,12.0,13.0,12.0,12,13.0,14.0,10.0,9,11.0,13.0,12.0,14,14.0,15.0,15.0,14,15.0,13.0,13.0,14,10.0,12.0,13.0,11,12.0,13.0,15.0,11,12.0,13.0,14.0,9,11.0,13.0,12.0,14,15.0,16.0,14.0,13,13.0,13.0,12.0,12,11.0,10.0,12.0,11,13.0,14.0,14.0,12,13.0,13.0,12.0,10,12.0,12.0,11.0,15,15.0,15.0,15.0,14,12.0,13.0,13.0,12,12.0,10.0,13.0
1679034,12,12.0,13.0,8.0,12,13.0,14.0,11.0,10,11.0,13.0,12.0,15,15.0,15.0,15.0,14,15.0,13.0,13.0,14,10.0,12.0,13.0,13,12.0,13.0,15.0,12,13.0,14.0,14.0,10,11.0,13.0,12.0,14,15.0,17.0,15.0,13,13.0,13.0,7.0,13,11.0,10.0,12.0,12,13.0,14.0,14.0,13,13.0,13.0,8.0,10,12.0,12.0,11.0,15,15.0,16.0,15.0,14,12.0,13.0,13.0,12,12.0,10.0,13.0
