, neuron_name,Class 1,Merge Class,is_pdiff,is_usplit,is_LNpre,is_brain,Hemisphere,Pair,Pair ID,Class 2,n_asym_edges,n_asym_out_edges,n_asym_in_edges
17654638, (MIXED bilateral right) [*BLAvm ant_r akira] #17654638,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10922020,453,,24,10,14
16409132, (BLDc LH left) [*BLDc_l akira] #16409132,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,17896997,766,,24,15,9
16399845, (BLAvm bilateral neuron 5 right) [*BLAvm ant_r akira] #16399845,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17729110,978,,24,15,9
16841026, (BLA ipsilateral right) [*BLAl_r akira] #16841026,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12509506,567,,24,1,23
15048530, (BLAl F neuron 1 right) [*BLAl_r akira] #15048530,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10345590,397,,24,5,19
16353832,MBIN-b2 (MBE10b right) [*DPLd_r akira] #16353832,MBIN,MBIN,FALSE,FALSE,FALSE,TRUE,R,17295912,913,,24,6,18
5762666, (n_down pOLP&PVL09-2 left) [*BLVp1_l akira] #5762666,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,17777259,163,,24,22,2
11624548, (SLV_right) [ni-neurons MB_r akira] #11624548,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12299647,540,,24,3,21
11605861,MB2ON-175 (SKT_right) [*BLAl_r akira] #11605861,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,4422289,96,,24,15,9
17334530,MB2ON-241 (DLPc_post_med-1_left) [*DPLc_post_med_l akira] #17334530,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,15481779,918,,24,7,17
17300165,FAN-5,FAN,FAN,FALSE,FALSE,FALSE,TRUE,L,9848760,914,,23,17,6
18500915, (BLVa12 contralateral 1 left) [*BLVa12_l akira] #18500915,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,16846902,1034,,23,16,7
9798791,FFN-33,FFN,FFN,FALSE,FALSE,FALSE,TRUE,R,16848497,839,,23,21,2
10627239,MB2IN-162 (Bilateral above BPL,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15608953,709,,23,21,2
8639662, (DPLm ant 1 left) [*DPLm2_l akira] #8639662,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,13046354,285,,23,6,17
16445073,MB2ON-204 (offPVL09d_left; DPLc) [*DPLc5_l akira] #16445073,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,8981761,784,,23,4,19
8711574,CN-39,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16100461,748,,23,17,6
11029851, (BLVp1 bilateral 2 right) [*BLVp1_r akira] #11029851,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15587533,701,,23,22,1
13046354, (DPLm ant 1 right) [*DPLm_r akira,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,8639662,285,,23,13,10
17384874, (CPd bilateral 1 right; CP4 7) [*CPd_r akira] #17384874,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15576292,697,,23,5,18
17434825,CN-35,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,16485079,958,,23,22,1
17557290, (BLVp12 sickle 3 left) [*BLVp1_l akira] #17557290,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,10946002,964,,23,21,2
9294475,MB2IN-115,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,8974428,306,,23,5,18
3844799, (L right (PN to LH)) [*BAlp4_r akira] #3844799,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12617396,573,,23,21,2
13411394, (DPMm1 horseshoe 1 right; DPMm1 FB2_right) [*DPMm1_r akira] #13411394,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,19268007,1056,,23,6,17
4130960, (Local Crescent right) [*BLAd-OL_r akira] #4130960,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16059078,742,,23,17,6
19268007, (DPMm1 horseshoe 1 left) [*DPMm1_l akira] #19268007,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,13411394,1056,,23,3,20
4780707,LH-4 (AF15: off suckerfish_left) [*DPLp_l akira] #4780707,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,15683275,115,,23,14,9
18099401, (CM4-dm bilateral descending left) [*CM4-dm_l akira] #18099401,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,5975584,1024,,23,4,19
10681487, (BLP12 claw 1 right; BLP12 a 3) [*BLP12_r akira] #10681487,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,2379544,10,,23,10,13
16848497,FFN-33,FFN,FFN,FALSE,FALSE,FALSE,TRUE,L,9798791,839,,23,18,5
9583435,FFN-14,FFN,FFN,FALSE,FALSE,FALSE,TRUE,R,9015745,309,,23,10,13
10785260, (DALcl12 vv 11 left) [*DALcl12-v_r akira] #10785260,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17813499,1008,,23,1,22
13818467, (DPMl12 loopy left) [*DPMl12_l akira,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,17813001,606,,23,6,17
15610774, (LX_right) [*BAmd2_v_r akira] #15610774,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15792643,728,,22,7,15
15481779,MB2ON-241 (DPLc_post_med-1_right) [*DPLc_post_med_r akira] #15481779,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17334530,918,,22,9,13
8069478,CN-33,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,11004239,462,,22,16,6
