param_key,binarize,graph_type,res,seed,threshold,modularity,Parameters,MB-ARI,MB-roARI,MB-moARI,AL-ARI,AL-roARI,AL-moARI,MB-cls,AL-cls
IngramSeattle,True,G,0.1,16398364,2,0.3201497222759547,33,0.004704643170847462,0.11479088713264518,0.5658112306796631,0.00024275815382491137,0.016774807984578276,0.20879955821800747,0.755521560982957,0.6497045851177661
MissyPusey,False,G,0.2,82764274,2,0.4560056534891264,34,0.008687823858287489,0.10166583514243217,0.34396175692329856,0.0009841138613889344,0.03578527258544093,0.21774871996534909,0.764202563920813,0.671372510765122
WinstonSudan,True,G,0.2,21335188,2,0.4155888454404564,35,0.00893296001361485,0.16690818974435107,0.39390177133925974,-0.0002625764725327699,-0.013175644887505347,0.1952453089626699,0.7431538325944905,0.46612137740899867
RembrandtOslo,False,G,0.3,68360323,2,0.5094818273017566,36,0.012893814115215872,0.15072392904487084,0.27572006421503703,0.0015389763157079512,0.00016625405569043074,0.3162787990998852,0.7622793636663144,0.571650108741226
McClellanDelhi,True,G,0.3,45062443,2,0.478748466018068,37,0.014879212493821342,0.27148964860389624,0.4111682410495183,-3.787631975477154e-05,-0.0028616141173224722,0.16047434228050095,0.7880954824140609,0.388761534572813
EkstromSolomon,False,G,0.4,33976162,2,0.5304469967834989,38,0.01991945147584091,0.4274796515478108,0.46920405198506443,0.0016030331172395182,0.05905802658244201,0.18556061512828942,0.8024957902368278,0.4487849539949186
CaseyGoff,True,G,0.4,57396169,2,0.4993749536450893,39,0.019673522856084712,0.4045858895525034,0.4550751239326037,-0.0009243666991309941,-0.009184777556575005,0.14006082484650964,0.8088976831825689,0.29458633805746604
CarsonRembrandt,False,G,0.5,44516649,2,0.5481033422984835,40,0.028098283348190724,0.39748818553224025,0.4505748924757423,0.0024938992954091996,0.04815719855907306,0.2449009621230901,0.7904074922025559,0.3693162818330792
GallupVerdi,True,G,0.5,75182780,2,0.5176237022571424,41,0.030390600053824896,0.6018101755236904,0.6109264042388837,0.0012109786117550775,-0.010087379706333425,0.13342145549912163,0.8057531825441182,0.285079678606765
KabukiGuenther,False,G,0.6,75483284,2,0.5614178655740557,42,0.038848923380851365,0.39745661251599573,0.43259770911807766,0.00473238260818449,0.03498718372348697,0.23386551387373117,0.7932574102724239,0.35355664254810365
CaucasusCasey,True,G,0.6,69690598,2,0.5372363835943618,43,0.041376087806388524,0.7904472109966157,0.6375306894973254,0.0009281871915793285,-0.0124823466225772,0.08859026225042183,0.7890035353170806,0.20956269294097057
MontanaShiloh,False,G,0.7,12270081,2,0.5657356337380159,44,0.04156821748831669,0.5364873594035324,0.4143764946204208,0.005260667118233027,0.023415027627509005,0.22214754173390985,0.7724998998058227,0.33922529359012416
TantricCrawford,True,G,0.7,70884803,2,0.5424320143991417,45,0.05065486548646159,0.7627666094655818,0.6268253895071207,0.0013939392351625414,-0.01171776271614164,0.07141253518649902,0.7704721297994332,0.1813279847197765
GoodmanDeimos,False,G,0.8,51833863,2,0.567378149337197,46,0.04733021653801379,0.5949055978787164,0.31267362658787734,0.006271700176077483,0.022200027887117234,0.20518276835864865,0.7651281625866913,0.32215863769437464
HanoverianCapistrano,True,G,0.8,23326145,2,0.5505274768343285,47,0.04229509442831549,0.6054564732827887,0.6190997686120231,0.0005591508184228403,-0.007590707845092518,0.05336665282003975,0.46199982942680196,0.17570338124023682
FayettevilleGodfrey,False,G,0.1,24699800,3,0.3497928429101313,48,0.004614999312106882,0.12943019169067432,0.5625793312436654,0.0007801383819189074,0.01690403112871375,0.29337585765870455,0.7479850553896283,0.5988211067185918
BunsenSieglinda,True,G,0.1,21970389,3,0.3323955605124177,49,0.004080924985417343,0.10507744772451989,0.4924159341819486,0.00013433232274746545,0.011972188546148841,0.18568649028122922,0.739240203175681,0.6504445445776075
SmytheAcapulco,False,G,0.2,77597435,3,0.4659521867454019,50,0.007859923739552556,0.1094131341917308,0.3721811658552792,0.000921408117692749,0.024308066910490634,0.17429726695135678,0.7234942251904198,0.7114689859634602
