,binarize,graph_type,param_key,res,seed,threshold,modularity
387,True,G,LundquistVoltaire,0.1,74528495,3,0.32305683516790645
388,True,G,EllenBrahmsian,0.2,70480584,0,0.3804219737204696
389,True,G,ProustSalvatore,0.2,78874209,1,0.41272690159389264
390,True,G,LexingtonGilbertson,0.2,32518928,2,0.4119021028053477
391,True,G,GuianaCalgary,0.2,20291449,3,0.4162069068472928
392,True,G,DaveArmonk,0.3,28981539,0,0.42217949409349825
393,True,G,DonaldSchweitzer,0.3,10145450,1,0.45558145972586156
394,True,G,EtruriaCollins,0.3,5800633,2,0.4727042696346565
395,True,G,AvonJaneiro,0.3,72380443,3,0.4834740186984707
396,True,G,BarrLorinda,0.4,29302600,0,0.4514143068144392
397,True,G,YoderScylla,0.4,48511680,1,0.48399562207398467
398,True,G,KrakowRoosevelt,0.4,55251940,2,0.4968467337012977
399,True,G,KriegerPinehurst,0.4,43584077,3,0.5037317288697875
400,True,G,LiverpudlianKnott,0.5,37824537,0,0.47383711287086955
401,True,G,BensonSchlesinger,0.5,72554116,1,0.4932344429946651
