,HessLyon,ScotsmenSpica,PeruvianFinnegan,SophieAlec,SchweitzerYonkers,MildredBritish,BobbieEdmonton,BelaAntilles,ScotiaThomistic,CarletonSutton,BrahmsianAchaean,HolmesDeneb,ClydeBalboa,CarruthersPeruvian,InterpolSanchez
3281684,20,14.0,0.0,0.0,15.0,4,5.0,5.0,0.0,0.0,15,3.0,0.0,0.0,0.0
3299214,48,43.0,38.0,32.0,30.0,49,3.0,39.0,33.0,28.0,52,41.0,37.0,31.0,25.0
3347708,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
3347834,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
3410499,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
3410506,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
3414508,0,0.0,0.0,0.0,0.0,44,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3436420,0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0
3450442,11,10.0,24.0,9.0,22.0,10,27.0,6.0,21.0,18.0,11,18.0,8.0,9.0,18.0
3450751,49,2.0,3.0,3.0,3.0,20,15.0,3.0,3.0,2.0,21,11.0,38.0,3.0,3.0
3464773,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
3465659,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
3486381,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
3486867,4,45.0,24.0,9.0,3.0,0,15.0,6.0,21.0,2.0,5,18.0,38.0,9.0,3.0
3487306,6,33.0,4.0,26.0,25.0,5,32.0,31.0,25.0,17.0,7,4.0,27.0,25.0,6.0
3497901,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
3498479,0,0.0,0.0,0.0,0.0,44,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3511996,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
3522293,1,1.0,1.0,,,1,1.0,1.0,,,1,1.0,1.0,,
3538129,27,27.0,39.0,33.0,31.0,51,40.0,40.0,5.0,29.0,54,43.0,41.0,32.0,26.0
3539170,3,3.0,3.0,3.0,3.0,3,15.0,3.0,3.0,2.0,3,2.0,3.0,3.0,3.0
3543931,51,45.0,24.0,9.0,22.0,51,41.0,40.0,21.0,29.0,55,43.0,8.0,9.0,26.0
3547397,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
3556191,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,5,0.0,0.0,0.0,0.0
3561724,20,14.0,0.0,0.0,0.0,4,5.0,5.0,0.0,0.0,15,3.0,0.0,0.0,0.0
3586984,3,14.0,3.0,3.0,3.0,3,15.0,3.0,3.0,2.0,15,2.0,3.0,3.0,3.0
3587612,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
3592997,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
3595837,33,5.0,25.0,,,44,0.0,5.0,,,18,0.0,40.0,,
3598000,32,0.0,0.0,,,40,0.0,0.0,,,47,0.0,0.0,,
3608397,3,2.0,2.0,2.0,9.0,3,2.0,19.0,2.0,7.0,3,11.0,2.0,2.0,8.0
3609202,3,2.0,2.0,2.0,9.0,3,2.0,19.0,2.0,7.0,3,11.0,2.0,2.0,8.0
3620633,43,0.0,25.0,25.0,29.0,44,20.0,0.0,31.0,12.0,0,7.0,35.0,29.0,21.0
3639968,3,2.0,2.0,2.0,9.0,3,2.0,19.0,2.0,7.0,3,11.0,2.0,2.0,8.0
3650006,11,10.0,24.0,9.0,22.0,10,27.0,6.0,21.0,18.0,11,18.0,41.0,9.0,18.0
3650600,6,33.0,4.0,26.0,25.0,5,32.0,31.0,25.0,17.0,7,4.0,27.0,25.0,6.0
3652587,3,14.0,3.0,3.0,3.0,3,15.0,3.0,3.0,2.0,15,2.0,3.0,13.0,3.0
3664102,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
3690921,41,33.0,4.0,26.0,25.0,37,32.0,31.0,25.0,23.0,44,4.0,27.0,25.0,6.0
3694515,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
3707204,52,46.0,27.0,5.0,14.0,33,30.0,33.0,13.0,11.0,37,44.0,25.0,16.0,20.0
3708875,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
3716797,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
3726990,44,19.0,26.0,5.0,14.0,34,42.0,33.0,18.0,11.0,39,30.0,14.0,16.0,13.0
3727004,20,,,,,34,,,,,39,,,,
3727026,0,,,,,44,,,,,15,,,,
3729496,33,5.0,0.0,2.0,5.0,44,0.0,0.0,0.0,3.0,6,0.0,4.0,6.0,5.0
3729504,5,5.0,5.0,0.0,15.0,4,5.0,5.0,0.0,0.0,6,5.0,4.0,6.0,11.0
3732322,4,5.0,0.0,2.0,4.0,0,0.0,0.0,0.0,3.0,5,0.0,0.0,0.0,6.0
3756659,41,26.0,4.0,26.0,25.0,37,43.0,31.0,25.0,23.0,44,4.0,27.0,25.0,6.0
3762317,33,0.0,0.0,2.0,4.0,44,0.0,0.0,0.0,3.0,48,0.0,0.0,0.0,5.0
3762787,0,5.0,0.0,,,44,0.0,0.0,,,15,0.0,0.0,,
3764792,29,29.0,25.0,30.0,11.0,17,7.0,30.0,12.0,8.0,32,26.0,13.0,11.0,27.0
3765728,17,35.0,16.0,5.0,14.0,33,19.0,33.0,13.0,11.0,39,30.0,14.0,16.0,13.0
3765735,17,18.0,16.0,5.0,14.0,39,19.0,33.0,13.0,11.0,46,30.0,14.0,16.0,13.0
3768025,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
3771794,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
3774568,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
3790004,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
3793681,5,5.0,5.0,0.0,15.0,4,5.0,5.0,0.0,0.0,6,5.0,4.0,6.0,0.0
3793760,53,24.0,33.0,29.0,14.0,52,42.0,16.0,18.0,11.0,56,33.0,35.0,16.0,13.0
3794023,38,19.0,17.0,26.0,25.0,34,34.0,33.0,25.0,22.0,38,32.0,33.0,25.0,6.0
3795424,6,6.0,,,,0,6.0,,,,5,0.0,,,
3795498,20,0.0,0.0,13.0,0.0,0,0.0,0.0,20.0,17.0,5,0.0,0.0,0.0,0.0
3797420,4,5.0,5.0,2.0,4.0,0,0.0,6.0,0.0,3.0,5,5.0,4.0,6.0,19.0
3806573,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
3806652,6,47.0,40.0,34.0,21.0,5,6.0,41.0,5.0,17.0,7,6.0,22.0,4.0,28.0
3813723,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
3814175,52,46.0,27.0,24.0,23.0,33,30.0,28.0,24.0,19.0,37,44.0,25.0,23.0,20.0
3814635,54,48.0,39.0,33.0,31.0,37,40.0,40.0,5.0,29.0,44,45.0,39.0,32.0,26.0
3814651,24,23.0,20.0,21.0,14.0,19,24.0,21.0,17.0,14.0,25,21.0,19.0,16.0,15.0
3814701,21,22.0,18.0,19.0,6.0,53,21.0,27.0,8.0,7.0,22,19.0,33.0,18.0,8.0
